Topic,Difficulty,Question,Answer
OOP,Medium,What is an abstract class in Java?,"An abstract class is a class in Java that cannot be instantiated, and is used as a base class for other classes to inherit from."
OOP,Medium,What is an interface in Java?,"An interface is a collection of abstract methods and constants that can be implemented by classes in Java, and is used to define a contract for classes to follow."
OOP,Hard,What is the diamond problem in Java?,"The diamond problem is a problem that can arise in multiple inheritance scenarios in Java, where two or more parent classes of a class define the same method or field, causing ambiguity."
Collections,Easy,What is a Collection in Java?,"A Collection is a group of objects in Java, and is used to represent and manipulate groups of objects."
Collections,Easy,What is the difference between a List and a Set in Java?,"A List is an ordered collection of elements in Java, whereas a Set is an unordered collection of elements in Java."
Collections,Easy,What is the difference between an ArrayList and a LinkedList in Java?,"An ArrayList is a resizable array in Java, whereas a LinkedList is a linked list in Java, and is more efficient for inserting and deleting elements in the middle of a list."
Collections,Easy,What is the difference between a HashSet and a TreeSet in Java?,"A HashSet is an unordered set in Java, whereas a TreeSet is an ordered set in Java, and is implemented using a binary search tree."
Collections,Medium,What is a Map in Java?,"A Map is a collection of key-value pairs in Java, and is used to represent and manipulate mappings between keys and values."
Collections,Medium,What is the difference between a TreeMap and a LinkedHashMap in Java?,"A TreeMap is a sorted map in Java, whereas a LinkedHashMap is an ordered map in Java, and maintains the order of elements based on insertion order or access order."
Collections,Medium,What is the difference between a HashMap and a ConcurrentHashMap in Java?,"A HashMap is not thread-safe, whereas a ConcurrentHashMap is thread-safe in Java, and allows multiple threads to access the map concurrently."
Collections,Medium,What is the difference between fail-fast and fail-safe iterators in Java?,"Fail-fast iterators in Java throw a ConcurrentModificationException if the underlying collection is modified during iteration, whereas fail-safe iterators in Java create a copy of the collection and iterate over the copy instead."
Collections,Hard,What is the difference between a Hashtable and a HashMap in Java?,"A Hashtable is synchronized and thread-safe in Java, whereas a HashMap is not synchronized and not thread-safe in Java."
Multithreading,Easy,What is a thread in Java?,A thread is a lightweight process in Java that allows multiple tasks to be executed concurrently within the same program.
Multithreading,Easy,What is synchronization in Java?,"Synchronization is a mechanism in Java that is used to control access to shared resources by multiple threads, and ensures that only one thread can access a resource at a time."
Multithreading,Easy,What is the difference between a thread and a process in Java?,"A thread is a lightweight process in Java that runs within a process, whereas a process is a separate instance of a program that runs independently."
Multithreading,Easy,What is the difference between wait() and sleep() in Java?,"wait() is a method in Java that is used to suspend the execution of a thread until another thread notifies it, whereas sleep() is a method in Java that is used to suspend the execution of a thread for a specified amount of time."
Multithreading,Medium,What is the difference between a mutex and a semaphore in Java?,"A mutex is a synchronization primitive in Java that is used to protect shared resources by allowing only one thread to access the resource at a time, whereas a semaphore is a synchronization primitive in Java that is used to control access to a limited number of resources by multiple threads."
Multithreading,Medium,What is a deadlock in Java?,"A deadlock in Java occurs when two or more threads are blocked, waiting for each other to release resources that they hold, resulting in a circular waiting chain that cannot be broken."
Multithreading,Medium,What is a race condition in Java?,"A race condition in Java occurs when two or more threads access a shared resource concurrently, and the final outcome of the program depends on the order of execution of the threads."
Multithreading,Hard,What is the difference between a Thread and a Runnable in Java?,"A Thread is a class in Java that represents a thread of execution, whereas a Runnable is an interface in Java that represents a task that can be executed by a thread."
Networking,Easy,What is a socket in Java?,"A socket is an endpoint in Java that is used for communication between two processes over a network, and consists of an IP address and a port number."
Networking,Easy,What is a client socket in Java?,"A client socket is a socket in Java that is used by a client to connect to a server socket, and consists of a local IP address and port number, and a remote IP address and port number."
Networking,Easy,What is a URL in Java?,"A URL is a Uniform Resource Locator in Java that is used to identify a resource on the internet, and consists of a protocol, host name, and path."
Networking,Easy,What is a URI in Java?,"A URI is a Uniform Resource Identifier in Java that is used to identify a resource on the internet, and consists of a scheme, authority, and path."
Networking,Medium,What is the difference between TCP and UDP in Java?,"TCP (Transmission Control Protocol) is a reliable protocol in Java that guarantees delivery of packets and provides error detection and correction, whereas UDP (User Datagram Protocol) is an unreliable protocol in Java that does not guarantee delivery of packets or provide error detection and correction."
Networking,Medium,What is the difference between a socket and a port in Java?,"A socket is an endpoint in Java that is used for communication between two processes over a network, whereas a port is a numeric identifier in Java that is used to identify a specific process or service on a computer."
Networking,Medium,What is the difference between a URL and a URI in Java?,"A URL is a type of URI in Java that identifies the location of a resource on the internet, whereas a URI is a generic identifier in Java that can identify any type of resource, including local files and network resources."
Networking,Hard,What is the difference between a server and a client in Java?,"A server is a program in Java that provides services to clients over a network, whereas a client is a program in Java that requests services from a server over a network."
JDBC,Easy,What is JDBC in Java?,"JDBC (Java Database Connectivity) is a Java API that is used to connect to and manipulate databases, and provides a standard interface for accessing relational databases."
JDBC,Easy,What is a JDBC driver in Java?,"A JDBC driver in Java is a software component that provides an implementation of the JDBC API, and translates JDBC calls into the protocol required by a specific database management system."
JDBC,Easy,What is a connection pool in Java?,"A connection pool in Java is a cache of database connections that can be reused by multiple threads in a Java program, and reduces the overhead of creating and closing database connections."
JDBC,Medium,What is the difference between a Statement and a PreparedStatement in Java?,"A Statement in Java is used to execute a single SQL statement, whereas a PreparedStatement in Java is used to execute a parameterized SQL statement, and provides better performance and security."
JDBC,Medium,What is the difference between the JDBC and the ODBC API in Java?,"The JDBC API in Java is designed specifically for Java applications, whereas the ODBC (Open Database Connectivity) API is a generic API for accessing databases that can be used by any programming language."
JDBC,Hard,What is the difference between a transaction and a batch in JDBC?,"A transaction in JDBC is a sequence of database operations that are executed as a single unit of work,"
Serialization,Easy,What is serialization in Java?,"Serialization in Java is the process of converting an object into a stream of bytes so that it can be saved to a file, sent over a network, or stored in a database."
Serialization,Easy,What is deserialization in Java?,Deserialization in Java is the process of converting a stream of bytes back into an object.
Serialization,Easy,What is the Serializable interface in Java?,The Serializable interface in Java is a marker interface that is used to indicate that a class can be serialized.
Serialization,Medium,What is the Externalizable interface in Java?,The Externalizable interface in Java is an interface that extends the Serializable interface and provides a way for a class to customize the serialization and deserialization process.
Serialization,Medium,What is the difference between serialization and externalization in Java?,"Serialization in Java is a default mechanism that saves the entire object state, whereas externalization in Java allows for customized serialization and deserialization of object states by implementing the Externalizable interface."
Serialization,Medium,What is the serialVersionUID in Java?,The serialVersionUID in Java is a version identifier that is used to ensure compatibility of serialized objects across different versions of the same class.
Serialization,Hard,What are the rules for serialization and deserialization in Java?,"The rules for serialization and deserialization in Java include that all non-transient fields of a serializable class will be serialized, and all fields marked as transient will not be serialized."
Concurrency,Easy,What is concurrency in Java?,"Concurrency in Java is the ability of a program to perform multiple tasks simultaneously, and is achieved using threads."
Concurrency,Easy,What is a thread in Java?,A thread in Java is a lightweight unit of execution that allows for concurrent execution of multiple tasks within a program.
Concurrency,Easy,What is a race condition in Java?,"A race condition in Java is a condition that occurs when two or more threads access a shared resource in an unpredictable order, resulting in incorrect behavior or data corruption."
Concurrency,Medium,What is the synchronized keyword in Java?,"The synchronized keyword in Java is used to prevent multiple threads from simultaneously accessing a shared resource, and ensures that only one thread at a time can execute a synchronized block of code."
Concurrency,Medium,What is the volatile keyword in Java?,"The volatile keyword in Java is used to indicate that a variable's value may be modified by multiple threads, and ensures that the variable's value is always read from and written to main memory, rather than from a thread's local cache."
Concurrency,Hard,What is a deadlock in Java?,"A deadlock in Java is a situation where two or more threads are waiting for each other to release a resource that they need, resulting in a state where none of the threads can make progress."
Generics,Easy,What are generics in Java?,"Generics in Java are a way to parameterize types, and allow classes and methods to be more flexible and reusable."
Generics,Easy,What is the difference between a raw type and a parameterized type in Java?,"A raw type in Java is a type that does not use generics, while a parameterized type is a type that uses generics to specify a type parameter."
Generics,Easy,What is type erasure in Java?,"Type erasure in Java is the process by which the compiler replaces type parameters with their upper bounds or Object, and removes all generic type information at compile time."
Generics,Medium,What is the difference between an unbounded wildcard and a bounded wildcard in Java?,"An unbounded wildcard in Java is denoted by the ? symbol and represents an unknown type, while a bounded wildcard is denoted by ? followed by a type bound, and restricts the types that can be used as arguments."
Generics,Medium,What is a type parameter in Java?,"A type parameter in Java is a placeholder for a type that is specified at runtime, and allows classes and methods to be generic."
Generics,Medium,What is the difference between a class and a interface in Java?,"A class in Java can have state and behavior, while an interface in Java only defines behavior."
Streams,Easy,What is a stream in Java?,A stream in Java is a sequence of elements that can be processed in parallel or sequentially.
Streams,Easy,What is the difference between intermediate and terminal operations in Java streams?,"Intermediate operations in Java streams are operations that transform a stream into another stream, while terminal operations are operations that produce a result or a side-effect, and terminate the stream."
Streams,Easy,What is the difference between a parallel stream and a sequential stream in Java?,"A parallel stream in Java allows for parallel processing of elements, while a sequential stream processes elements sequentially."
Streams,Medium,What is the reduce() method in Java streams?,"The reduce() method in Java streams is a terminal operation that performs a reduction operation on the elements of a stream, and produces a single result."
Streams,Medium,What is the difference between findFirst() and findAny() in Java streams?,"The findFirst() method in Java streams returns the first element of a stream, while the findAny() method returns any element of a stream, and is useful for parallel"
