Topic,Difficulty,Question,Answer
Design Patterrns,Medium,What is the purpose of the Composite design pattern?,"The purpose of the Composite design pattern is to represent objects in a tree-like structure, allowing clients to treat individual objects and groups of objects uniformly."
Design Patterrns,Medium,What is the purpose of the Command design pattern?,"The purpose of the Command design pattern is to encapsulate a request as an object, allowing parameterization of clients with different requests."
Design Patterrns,Medium,What is the purpose of the Flyweight design pattern?,The purpose of the Flyweight design pattern is to minimize memory usage by sharing common data across multiple objects.
Design Patterrns,Hard,What is the difference between a factory method and an abstract factory?,"The factory method pattern provides a single method for creating objects of a specific type, while the abstract factory pattern provides an interface for creating families of related objects without specifying their concrete classes."
Design Patterrns,Hard,What is the purpose of the Visitor design pattern?,"The purpose of the Visitor design pattern is to define a new operation without changing the classes of the elements on which it operates, allowing new behaviors to be added to an object structure without modifying its structure."
Design Patterrns,Hard,What is the purpose of the Bridge design pattern?,"The purpose of the Bridge design pattern is to decouple an abstraction from its implementation, allowing both to vary independently."
Design Patterrns,Hard,What is the purpose of the Proxy design pattern?,The purpose of the Proxy design pattern is to provide a surrogate or placeholder for another object to control access to it or add additional functionalities.
Design Patterrns,Hard,What is the purpose of the Flyweight design pattern?,"The purpose of the Flyweight design pattern is to minimize memory usage by sharing common data across multiple objects, allowing the creation of a large number of fine-grained objects efficiently."
Design Patterrns,Hard,What is the purpose of the Interpreter design pattern?,The purpose of the Interpreter design pattern is to define a representation of a grammar and an interpreter to evaluate or interpret sentences in that grammar.
Design Patterrns,Hard,What is the purpose of the Facade design pattern?,"The purpose of the Facade design pattern is to provide a simplified interface to a complex subsystem, hiding its complexity and making it easier to use for clients."
Design Patterrns,Hard,What is the purpose of the Mediator design pattern?,"The purpose of the Mediator design pattern is to define an object that encapsulates how a set of objects interact, promoting loose coupling by allowing objects to communicate with each other through a central mediator object instead of directly referencing each other."
Design Patterrns,Hard,What is the purpose of the Abstract Factory design pattern?,"The purpose of the Abstract Factory design pattern is to provide an interface for creating families of related or dependent objects without specifying their concrete classes, enabling the creation of objects that are compatible and interoperable with each other."
Design Patterrns,Hard,What is the purpose of the Composite design pattern?,"The purpose of the Composite design pattern is to represent objects in a tree-like structure, allowing clients to treat individual objects and groups of objects uniformly, simplifying the handling of complex hierarchical structures."
Design Patterrns,Hard,What is the purpose of the Adapter design pattern?,"The purpose of the Adapter design pattern is to convert the interface of a class into another interface that clients expect, allowing objects with incompatible interfaces to work together."
Design Patterrns,Hard,What is the purpose of the Chain of Responsibility design pattern?,"The purpose of the Chain of Responsibility design pattern is to create a chain of objects, each having a chance to handle a request or pass it to the next object in the chain, providing a way to decouple senders and receivers of requests and giving more than one object an opportunity to handle a request."
Design Patterrns,Hard,What is the purpose of the Builder design pattern?,"The purpose of the Builder design pattern is to separate the construction of an object from its representation, allowing the same construction process to create different representations of an object."
Design Patterrns,Hard,What is the purpose of the Prototype design pattern?,"The purpose of the Prototype design pattern is to create new objects by cloning existing ones, allowing the creation of new instances without requiring the use of complex creation mechanisms or explicitly specifying their classes."
Design Patterrns,Hard,What is the purpose of the Object Pool design pattern?,"The purpose of the Object Pool design pattern is to reuse and manage a pool of objects, reducing the cost of object creation and destruction and improving performance in situations where the cost of creating a new object is high."
Design Patterrns,Hard,What is the purpose of the Template Method design pattern?,"The purpose of the Template Method design pattern is to define the skeleton of an algorithm in a base class, allowing subclasses to provide specific implementations for certain steps of the algorithm while preserving the overall structure and sequence of the algorithm."
Design Patterrns,Hard,What is the purpose of the Visitor design pattern?,"The purpose of the Visitor design pattern is to define a new operation without changing the classes of the elements on which it operates, allowing new behaviors to be added to an object structure without modifying its structure."
